iter	Passed	Remaining
0	1	1892
1	4	2467
2	5	1983
3	6	1706
4	9	1887
5	12	2076
6	14	2026
7	15	1898
8	16	1818
9	19	1905
10	20	1806
11	20	1703
12	22	1676
13	23	1648
14	25	1668
15	27	1721
16	30	1776
17	31	1742
18	34	1755
19	36	1773
20	37	1771
21	39	1774
22	41	1771
23	43	1750
24	46	1816
25	47	1772
26	48	1758
27	51	1793
28	59	1978
29	61	1996
30	63	1991
31	64	1966
32	65	1931
33	67	1923
34	69	1908
35	70	1881
36	71	1873
37	74	1873
38	76	1877
39	77	1868
40	79	1868
41	81	1859
42	83	1855
43	84	1838
44	85	1814
45	86	1797
46	87	1783
47	89	1776
48	90	1765
49	92	1757
50	93	1748
51	95	1740
52	96	1730
53	98	1723
54	99	1713
55	100	1696
56	101	1686
57	103	1678
58	104	1672
59	105	1657
60	107	1652
61	108	1637
62	109	1630
63	110	1623
64	111	1607
65	112	1593
66	114	1593
67	115	1589
68	117	1581
69	117	1566
70	119	1560
71	120	1557
72	121	1545
73	122	1533
74	124	1529
75	125	1522
76	126	1517
77	127	1511
78	129	1505
79	129	1493
80	131	1486
81	132	1485
82	133	1480
83	135	1475
84	136	1468
85	137	1461
86	138	1455
87	140	1453
88	141	1449
89	142	1437
90	143	1430
91	144	1428
92	145	1421
93	147	1418
94	148	1412
95	149	1404
96	150	1397
97	150	1386
98	151	1379
99	152	1376
100	153	1368
101	154	1363
102	155	1358
103	157	1354
104	158	1349
105	159	1345
106	161	1344
107	162	1339
108	163	1333
109	164	1332
110	165	1325
111	166	1323
112	167	1317
113	168	1312
114	170	1309
115	171	1305
116	172	1302
117	174	1303
118	175	1298
119	176	1295
120	178	1295
121	178	1287
122	179	1280
123	180	1277
124	182	1274
125	183	1275
126	185	1275
127	186	1270
128	187	1268
129	189	1265
130	190	1262
131	191	1259
132	193	1259
133	194	1259
134	196	1258
135	197	1254
136	198	1250
137	200	1249
138	201	1247
139	202	1245
140	203	1242
141	205	1239
142	206	1237
143	207	1233
144	208	1229
145	209	1225
146	210	1220
147	211	1216
148	212	1216
149	213	1212
150	214	1207
151	215	1203
152	216	1199
153	217	1194
154	218	1191
155	220	1191
156	222	1193
157	223	1189
158	224	1188
159	226	1187
160	227	1186
161	229	1187
162	230	1184
163	232	1183
164	234	1184
165	235	1181
166	237	1182
167	238	1183
168	239	1179
169	241	1180
170	243	1180
171	245	1180
172	247	1185
173	249	1184
174	251	1185
175	252	1183
176	253	1180
177	255	1177
178	255	1173
179	257	1171
180	258	1170
181	260	1169
182	261	1168
183	262	1166
184	264	1165
185	266	1166
186	268	1165
187	269	1163
188	270	1162
189	271	1159
190	273	1159
191	275	1158
192	277	1158
193	277	1154
194	279	1154
195	281	1153
196	282	1153
197	284	1153
198	286	1153
199	288	1155
200	290	1154
201	292	1157
202	295	1160
203	297	1161
204	299	1161
205	300	1159
206	302	1158
207	304	1159
208	305	1157
209	307	1157
210	309	1158
211	311	1157
212	313	1159
213	315	1159
214	317	1158
215	318	1157
216	320	1155
217	321	1153
218	323	1153
219	326	1157
220	328	1156
221	330	1158
222	332	1158
223	333	1156
224	335	1154
225	337	1154
226	338	1152
227	339	1150
228	341	1148
229	342	1146
230	344	1145
231	345	1143
232	346	1141
233	348	1139
234	349	1136
235	350	1135
236	352	1133
237	354	1134
238	356	1134
239	357	1132
240	359	1131
241	360	1128
242	361	1127
243	363	1125
244	365	1126
